Total Visits,Unique Visitors,Avg Session Duration,Bounce Rate,Journeys Per Session,Avg Time on Journey,Most Visited Journey,Journey Steps,Time on Step,Conversion Rate,Lead Conversion Rate,Document Downloads,Purchases,Feedback Score,Search Query Frequency,Search Result CTR,Social Shares,Page Load Time,Error Rates,User Demographics,Behavioral Segment,Date
1391,1129,3.39,37.89,2,2.25,Brandportal,dealer-search.finish,2.34,9.12,1.43,101,24,4.4,dealership locations,28.06,65,2.89,0.09,"35-44, Female",New Visitor,2023-01-25
948,1011,8.13,44.95,3,3.62,Dealer Search,dealer-search.dealer-1,2.38,8.51,2.21,117,29,4.3,dealership locations,43.55,79,2.65,0.08,"25-34, Male",Frequent Buyer,2023-01-18
1166,977,5.13,68.49,5,4.47,Brandportal,brandportal.skoda-model-2,4.02,1.16,1.41,171,27,4.3,car pricing,35.44,94,3.85,0.1,"35-44, Female",Frequent Buyer,2023-01-01
1150,847,7.53,57.85,3,4.79,Car Configurator,dealer-search.finish,2.37,2.16,1.15,146,18,4.2,new car models,31.82,41,3.52,0.02,"35-44, Female",Frequent Buyer,2023-01-09
895,1147,3.96,21.9,2,3.52,Inventory Check,inventory-check.skoda-model-1,2.16,3.87,0.99,185,18,4.0,dealership locations,20.74,71,2.79,0.04,"35-44, Female",Returning Visitor,2023-01-03
1326,1054,9.28,69.59,5,2.29,Dealer Search,inventory-check.skoda-model-2,1.29,6.94,2.29,152,27,3.1,new car models,27.66,62,3.66,0.03,"25-34, Male",Returning Visitor,2023-01-03
1104,813,3.13,56.97,3,2.83,Inventory Check,dealer-search.finish,4.13,5.1,4.27,125,7,4.9,new car models,43.73,96,3.59,0.06,"25-34, Male",Returning Visitor,2023-01-07
963,793,6.81,46.51,3,1.59,Car Configurator,brandportal.skoda-model-1,2.74,1.76,2.19,150,26,4.2,dealership locations,23.46,91,3.25,0.08,"35-44, Female",Returning Visitor,2023-01-17
1435,1000,3.24,58.38,4,4.85,Brandportal,dealer-search.dealer-2,2.32,9.14,3.06,95,5,4.1,dealership locations,20.41,48,2.23,0.06,"35-44, Female",New Visitor,2023-01-15
1283,848,7.45,66.46,5,2.55,Brandportal,dealer-search.dealer-2,1.59,4.84,1.23,173,17,4.4,dealership locations,27.42,74,2.77,0.05,"25-34, Male",New Visitor,2023-01-13
1436,974,7.14,39.6,1,4.96,Car Configurator,brandportal.skoda-model-2,2.58,9.77,2.35,53,24,4.6,car pricing,23.98,60,2.13,0.05,"25-34, Male",Returning Visitor,2023-01-11
873,897,5.89,65.42,3,2.24,Dealer Search,dealer-search.finish,4.49,5.18,0.71,169,7,4.6,dealership locations,44.21,48,3.23,0.02,"25-34, Male",New Visitor,2023-01-23
963,700,8.74,51.98,3,3.9,Car Configurator,car-configurator.finish,1.49,7.29,3.77,200,13,4.7,new car models,22.22,92,2.57,0.01,"18-24, Female",Frequent Buyer,2023-01-21
1119,969,7.39,34.1,4,4.98,Car Configurator,car-configurator.start,1.85,4.35,4.81,183,20,3.7,new car models,24.24,50,1.63,0.02,"18-24, Female",Frequent Buyer,2023-01-08
1396,860,8.36,40.69,3,3.97,Dealer Search,inventory-check.booking,1.27,4.63,0.93,188,16,3.4,dealership locations,33.89,89,1.53,0.05,"25-34, Male",Returning Visitor,2023-01-11
1296,1190,9.54,32.47,3,2.48,Brandportal,inventory-check.skoda-model-1,1.14,1.61,2.46,110,14,4.9,new car models,37.93,80,1.41,0.02,"35-44, Female",Returning Visitor,2023-01-02
836,1024,8.06,21.95,3,4.49,Dealer Search,inventory-check.booking,1.5,8.14,2.91,187,13,4.3,new car models,26.43,44,1.3,0.01,"25-34, Male",Returning Visitor,2023-01-06
1411,799,6.09,55.77,2,1.5,Brandportal,dealer-search.dealer-1,2.92,4.8,3.57,157,13,4.3,car pricing,22.76,81,1.74,0.03,"25-34, Male",Frequent Buyer,2023-01-26
1392,749,8.9,29.43,4,4.41,Car Configurator,dealer-search.dealer-1,2.26,5.34,4.13,85,8,4.3,new car models,27.31,59,1.44,0.08,"25-34, Male",Returning Visitor,2023-01-18
1387,828,9.78,53.81,5,2.28,Car Configurator,dealer-search.dealer-1,2.09,7.92,1.91,115,19,4.4,dealership locations,28.45,48,3.17,0.09,"35-44, Female",Frequent Buyer,2023-01-29
1221,710,7.41,36.56,4,3.64,Car Configurator,inventory-check.skoda-model-2,1.57,7.54,3.89,85,18,3.0,dealership locations,27.73,94,2.14,0.02,"25-34, Male",Returning Visitor,2023-01-03
1404,806,9.51,35.06,1,2.62,Car Configurator,dealer-search.finish,2.07,7.23,3.32,60,18,3.4,new car models,30.94,92,2.86,0.03,"35-44, Female",Frequent Buyer,2023-01-23
1419,1127,9.66,26.58,1,1.51,Car Configurator,dealer-search.dealer-2,4.99,3.14,1.94,144,7,3.3,car pricing,25.88,91,3.14,0.08,"35-44, Female",Returning Visitor,2023-01-24
1225,813,6.97,42.95,1,2.12,Dealer Search,car-configurator.step-1,3.2,3.52,0.98,67,26,4.3,car pricing,48.01,47,2.29,0.07,"18-24, Female",New Visitor,2023-01-07
1159,1042,7.0,49.01,5,3.26,Dealer Search,dealer-search.dealer-2,3.17,9.93,0.67,68,29,4.2,new car models,31.76,83,2.77,0.03,"25-34, Male",New Visitor,2023-01-03
1400,1095,7.52,43.67,5,4.16,Car Configurator,inventory-check.skoda-model-1,2.41,1.85,3.25,50,26,4.5,car pricing,38.15,42,2.03,0.05,"25-34, Male",Frequent Buyer,2023-01-25
1008,1104,7.12,50.79,2,2.91,Car Configurator,inventory-check.skoda-model-2,2.04,7.62,0.99,101,6,3.5,dealership locations,46.13,59,2.99,0.07,"18-24, Female",Returning Visitor,2023-01-20
1074,828,9.86,53.13,4,4.61,Dealer Search,dealer-search.dealer-2,3.27,2.8,4.62,126,7,3.9,dealership locations,40.87,96,3.81,0.03,"25-34, Male",New Visitor,2023-01-29
